population,n_responder,n_nonresponder,median_responder,median_nonresponder,mean_responder,mean_nonresponder,mean_difference,median_difference,rank_biserial,t_stat,t_p_raw,t_p_bh,mwu_stat,mwu_p_raw,mwu_p_bh,significant_primary,significant_high_confidence
b_cell,993,975,9.432277716506484,9.788394525529014,9.797552613770158,9.996319710875161,-0.1987670971050033,-0.35611680902253084,-0.04981847290004393,-1.3688187995764836,0.17121261689054976,0.3210811538044072,459971.0,0.055702309738266245,0.1392557743456656,False,False
cd8_t_cell,993,975,24.728022127013396,24.603067146867417,24.881931595096706,24.94392435752586,-0.06199276242915275,0.12495498014597928,-0.012211635293206236,-0.2944204277176178,0.768467982670155,0.768467982670155,478176.0,0.6390858847346418,0.6390858847346418,False,False
cd4_t_cell,993,975,30.22056448672133,29.65760700451731,30.53780834185009,29.902261776254058,0.6355465655960337,0.5629574822040198,0.06442740207090658,2.809399676599306,0.005012665969050725,0.025063329845253626,515276.0,0.013344218813937624,0.06672109406968811,False,False
nk_cell,993,975,14.509281611587449,14.799142593764923,14.84094427086041,15.073166214646589,-0.232221943786179,-0.28986098217747447,-0.040367702119967985,-1.3032329155580753,0.1926486922826443,0.3210811538044072,464546.0,0.1210507982042857,0.20175133034047618,False,False
monocyte,993,975,19.609697542876887,19.942332781511407,19.941763178422633,20.084327940698326,-0.14256476227569337,-0.33263523863451994,-0.03631058434683809,-0.7294016499956464,0.4658442984158958,0.5823053730198697,466510.0,0.16315013268752876,0.20393766585941095,False,False
